epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
72,24307.9,0.7654,0.80958,1.08519,0.94794,0.94945,0.97616,0.86981,0.52119,0.35778,0.90326,0.002971,0.002971,0.002971
73,24644.1,0.75671,0.80621,1.08078,0.94183,0.96031,0.9763,0.86747,0.52816,0.36419,0.90992,0.002872,0.002872,0.002872
74,24980.2,0.76182,0.7988,1.0807,0.94503,0.96374,0.97821,0.86688,0.52849,0.35547,0.90768,0.002773,0.002773,0.002773
75,25316.7,0.74575,0.78186,1.07462,0.95476,0.95052,0.97742,0.86777,0.52441,0.35445,0.90694,0.002674,0.002674,0.002674
76,25653.1,0.75202,0.78725,1.07949,0.94741,0.96356,0.97633,0.86816,0.52781,0.35505,0.90538,0.002575,0.002575,0.002575
77,25989.6,0.74535,0.77335,1.075,0.95272,0.96038,0.97563,0.86938,0.52133,0.35327,0.9039,0.002476,0.002476,0.002476
78,26325.6,0.74386,0.78189,1.07366,0.95322,0.94859,0.97553,0.86682,0.51792,0.35942,0.90392,0.002377,0.002377,0.002377
79,26662.1,0.7447,0.77163,1.0726,0.94501,0.96324,0.976,0.86733,0.51967,0.3556,0.9042,0.002278,0.002278,0.002278
80,26998.3,0.73457,0.76696,1.06998,0.94396,0.9646,0.97489,0.86705,0.51949,0.35429,0.90243,0.002179,0.002179,0.002179
81,27334.3,0.72832,0.74988,1.06652,0.94802,0.96852,0.97426,0.86859,0.52253,0.34666,0.90694,0.00208,0.00208,0.00208
82,27670.4,0.73149,0.75989,1.06576,0.93743,0.97031,0.97635,0.8706,0.52006,0.35412,0.90699,0.001981,0.001981,0.001981
83,28006.5,0.7262,0.74949,1.06576,0.94047,0.9684,0.97594,0.87036,0.51443,0.35418,0.90657,0.001882,0.001882,0.001882
84,28342.6,0.72584,0.74614,1.06328,0.9467,0.96743,0.97801,0.87085,0.51308,0.34635,0.90322,0.001783,0.001783,0.001783
85,28679.4,0.71921,0.74355,1.05897,0.94495,0.96907,0.97772,0.87213,0.518,0.34702,0.90327,0.001684,0.001684,0.001684
86,29015.7,0.71798,0.73711,1.06016,0.94452,0.96916,0.9783,0.87266,0.51853,0.34698,0.90189,0.001585,0.001585,0.001585
87,29352,0.71179,0.72533,1.05332,0.94527,0.97179,0.97719,0.87143,0.52191,0.34761,0.90646,0.001486,0.001486,0.001486
88,29688.1,0.70863,0.71925,1.05779,0.94755,0.96922,0.97615,0.87262,0.51983,0.34432,0.90688,0.001387,0.001387,0.001387
89,30025,0.71117,0.70902,1.05431,0.95185,0.96791,0.97807,0.87359,0.52004,0.34035,0.90651,0.001288,0.001288,0.001288
90,30361,0.70572,0.7121,1.05301,0.9608,0.96069,0.97777,0.87316,0.519,0.33752,0.90685,0.001189,0.001189,0.001189
91,30698,0.66156,0.55584,1.02561,0.95352,0.96311,0.97662,0.86973,0.51857,0.34387,0.90635,0.00109,0.00109,0.00109
92,31033.7,0.64751,0.53414,1.01606,0.94548,0.96718,0.97663,0.86745,0.51856,0.34564,0.90497,0.000991,0.000991,0.000991
93,31369.5,0.64223,0.52768,1.01433,0.95199,0.96232,0.9783,0.8693,0.52147,0.34473,0.90583,0.000892,0.000892,0.000892
94,31703.8,0.63358,0.52296,1.01031,0.95487,0.96149,0.97812,0.86827,0.52172,0.34246,0.90739,0.000793,0.000793,0.000793
95,32038.3,0.62673,0.51201,1.00546,0.96177,0.96147,0.97847,0.87019,0.52066,0.34098,0.90679,0.000694,0.000694,0.000694
96,32372.7,0.62232,0.50498,1.00376,0.95881,0.9653,0.97822,0.87003,0.52023,0.3389,0.90572,0.000595,0.000595,0.000595
97,32707,0.61486,0.50434,0.99791,0.96135,0.96495,0.97848,0.87131,0.52142,0.33847,0.90604,0.000496,0.000496,0.000496
98,33041.4,0.61283,0.49724,0.99595,0.9623,0.96743,0.9786,0.87152,0.52346,0.338,0.90695,0.000397,0.000397,0.000397
99,33375.8,0.60517,0.48999,0.99653,0.96053,0.96677,0.97831,0.87233,0.52279,0.33771,0.9069,0.000298,0.000298,0.000298
100,33710.2,0.6062,0.49052,0.99557,0.96265,0.96349,0.97851,0.87299,0.52107,0.33673,0.90549,0.000199,0.000199,0.000199
