                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     55,                0.80064,                 4.7813,                0.44877,                 0.9461,                 1.1181,                0.79204,                0.78236,                0.85018,                0.68994,                0.58394,                0.52583,                0.48145,                0.11805,                0.75399,                 4.9713,                0.39963,                0.79731,                 1.0965,              0.0004654,              0.0004654,              0.0004654
                     56,                0.79277,                 4.7933,                0.44825,                0.91773,                 1.1157,                0.79464,                0.77896,                0.86568,                0.71105,                0.57484,                0.55399,                0.49361,                0.12265,                0.72161,                  4.912,                0.39603,                0.73938,                 1.0771,              0.0004555,              0.0004555,              0.0004555
                     57,                0.79188,                 4.7975,                0.45065,                0.90288,                 1.1181,                0.77498,                0.75454,                0.84987,                 0.6945,                0.62608,                0.51526,                0.48818,                0.11685,                0.71595,                 4.9778,                0.39558,                0.79197,                 1.0759,              0.0004456,              0.0004456,              0.0004456
                     58,                0.79658,                 4.7439,                0.44542,                0.92668,                 1.1211,                0.81417,                 0.7587,                 0.8607,                0.70423,                0.60795,                0.55409,                0.49262,                0.12816,                0.72408,                 4.9867,                 0.4023,                0.74578,                 1.0793,              0.0004357,              0.0004357,              0.0004357
                     59,                0.79455,                 4.7487,                0.44821,                0.91776,                 1.1173,                0.83915,                0.76898,                0.86407,                 0.7033,                0.61391,                  0.541,                0.50151,                 0.1333,                0.73598,                 4.8111,                0.39663,                0.75513,                 1.0862,              0.0004258,              0.0004258,              0.0004258
                     60,                0.77583,                 4.6241,                0.44312,                0.89636,                 1.1025,                  0.793,                0.78545,                0.86282,                0.70761,                0.60186,                 0.5246,                0.47324,                0.12051,                0.72382,                  4.898,                0.40276,                0.76731,                 1.0744,              0.0004159,              0.0004159,              0.0004159
                     61,                0.78434,                 4.6871,                0.44421,                0.90601,                 1.1148,                0.78108,                0.80223,                0.87142,                0.71695,                0.60557,                0.55799,                0.51953,                0.12279,                0.71055,                 4.9408,                0.39576,                0.73378,                 1.0629,               0.000406,               0.000406,               0.000406
                     62,                0.77543,                 4.6602,                0.44515,                0.89429,                 1.1108,                0.81352,                0.80058,                0.87153,                0.71659,                 0.5964,                0.57189,                0.51606,                 0.1319,                0.73115,                 4.8324,                0.39264,                0.74325,                 1.0795,              0.0003961,              0.0003961,              0.0003961
                     63,                0.77366,                 4.6289,                0.45012,                0.88106,                 1.1106,                 0.8451,                 0.8207,                0.88275,                0.73409,                0.63483,                0.54926,                0.52723,                0.13637,                0.70895,                 4.7355,                0.39678,                0.71273,                 1.0671,              0.0003862,              0.0003862,              0.0003862
                     64,                0.76689,                 4.6383,                0.44491,                0.87182,                 1.1068,                0.81777,                0.81537,                0.86588,                0.71832,                0.61306,                0.57211,                0.53733,                 0.1448,                0.71238,                 4.7519,                0.39544,                 0.7288,                 1.0718,              0.0003763,              0.0003763,              0.0003763
                     65,                0.77005,                 4.5915,                0.44535,                0.86703,                 1.1049,                0.81468,                0.78565,                0.87239,                0.71423,                0.64663,                0.55292,                0.52936,                0.13554,                 0.7234,                 4.8581,                0.40109,                0.73308,                 1.0697,              0.0003664,              0.0003664,              0.0003664
                     66,                0.76886,                 4.5937,                0.44294,                0.86183,                 1.1111,                0.83678,                0.76185,                0.86781,                0.71439,                0.65152,                0.58341,                0.54354,                0.12955,                0.71135,                 4.8244,                0.39616,                0.72984,                 1.0588,              0.0003565,              0.0003565,              0.0003565
