                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     43,                 1.1649,                 5.2766,                0.40751,                 1.1535,                 1.3688,                0.65227,                0.70376,                0.71679,                0.45379,                0.28467,                0.28444,                0.17629,                0.03508,                 1.2643,                 5.7106,                0.19378,                 1.1372,                  1.603,              0.0005842,              0.0005842,              0.0005842
                     44,                 1.1627,                 5.2883,                0.40288,                 1.1584,                 1.3741,                0.70704,                0.70653,                0.74582,                0.47244,                0.28263,                0.30328,                 0.1699,                0.03335,                 1.2629,                 5.6742,                0.19414,                 1.0222,                 1.6135,              0.0005743,              0.0005743,              0.0005743
                     45,                 1.1829,                 5.1618,                0.39855,                 1.1638,                 1.3833,                0.63766,                0.74467,                0.70919,                0.45393,                 0.2898,                0.30711,                0.16906,                0.03068,                  1.261,                 5.7123,                0.18334,                  1.168,                  1.601,              0.0005644,              0.0005644,              0.0005644
                     46,                 1.1642,                 5.2797,                0.40597,                 1.1454,                 1.3779,                0.65147,                0.73893,                0.73261,                0.47044,                   0.29,                0.29543,                0.17861,                0.03094,                 1.2373,                  5.684,                0.18916,                 1.1294,                 1.5701,              0.0005545,              0.0005545,              0.0005545
                     47,                 1.1879,                 5.2417,                0.41258,                 1.1705,                 1.3882,                0.65034,                0.79075,                0.76094,                0.50398,                 0.2569,                0.35027,                0.16069,                0.03226,                  1.225,                 5.6149,                0.20782,                 1.0409,                 1.5551,              0.0005446,              0.0005446,              0.0005446
                     48,                 1.1506,                 5.1645,                0.40958,                 1.1132,                 1.3757,                0.69349,                0.75061,                0.74724,                0.48822,                0.29233,                0.33536,                0.17731,                0.03358,                 1.2077,                  5.639,                0.19353,                 1.0301,                  1.561,              0.0005347,              0.0005347,              0.0005347
                     49,                 1.1512,                  5.146,                0.40633,                 1.1297,                 1.3596,                0.66926,                0.75335,                0.71539,                0.46837,                0.29038,                0.36299,                0.19241,                0.03723,                 1.2108,                 5.7046,                0.20614,                 1.1449,                 1.5547,              0.0005248,              0.0005248,              0.0005248
                     50,                  1.147,                 5.0735,                0.40794,                 1.1139,                 1.3636,                0.65751,                 0.7849,                0.77765,                0.52237,                0.33716,                0.31693,                0.20146,                0.03921,                 1.1987,                 5.3836,                0.19711,                0.95665,                 1.5435,              0.0005149,              0.0005149,              0.0005149
                     51,                 1.1555,                 5.0088,                0.40122,                 1.0886,                 1.3709,                0.61918,                0.78622,                0.73944,                0.48598,                0.27701,                0.32568,                0.18667,                0.03315,                 1.2278,                 5.4628,                0.18898,                  1.053,                 1.5636,               0.000505,               0.000505,               0.000505
                     52,                 1.1312,                 5.0112,                0.40496,                 1.0945,                 1.3585,                0.67684,                0.71105,                0.72631,                 0.4773,                0.34334,                0.35436,                0.21841,                0.03869,                 1.2083,                 5.6144,                0.18736,                 1.0722,                 1.5573,              0.0004951,              0.0004951,              0.0004951
