epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,14254.2,0.75957,4.6058,0.44784,0.83625,1.10473,0.81718,0.79192,0.86607,0.71943,0.61874,0.55351,0.49817,0.12427,0.68152,4.7664,0.40821,0.71162,1.04212,0.000307,0.000307,0.000307
72,14454.6,0.75453,4.60969,0.44877,0.83751,1.0939,0.80934,0.81815,0.87307,0.72017,0.61267,0.56987,0.52148,0.12907,0.68601,4.70011,0.40563,0.69244,1.03766,0.0002971,0.0002971,0.0002971
73,14654.9,0.75771,4.55739,0.45058,0.81689,1.09605,0.82008,0.83486,0.88601,0.73266,0.59827,0.55972,0.50584,0.133,0.68666,4.67632,0.40694,0.67693,1.04088,0.0002872,0.0002872,0.0002872
74,14855.3,0.74905,4.53506,0.44733,0.82612,1.09544,0.81152,0.81534,0.87232,0.72166,0.57734,0.57267,0.51381,0.12612,0.68177,4.70935,0.40908,0.69018,1.03905,0.0002773,0.0002773,0.0002773
75,15055.7,0.74135,4.51023,0.44416,0.8202,1.08667,0.82524,0.80992,0.89033,0.73812,0.60139,0.57277,0.53673,0.13682,0.68264,4.64615,0.40324,0.65323,1.02743,0.0002674,0.0002674,0.0002674
76,15256.4,0.7386,4.49813,0.44563,0.80232,1.08448,0.79924,0.81675,0.8779,0.72753,0.62152,0.58195,0.53523,0.13796,0.69611,4.73134,0.40519,0.69421,1.04674,0.0002575,0.0002575,0.0002575
77,15456.7,0.7476,4.59592,0.44508,0.82225,1.09665,0.7979,0.81656,0.88401,0.7327,0.60871,0.56644,0.52733,0.13513,0.68243,4.69654,0.40308,0.67379,1.03051,0.0002476,0.0002476,0.0002476
78,15657.1,0.73672,4.45667,0.44378,0.80434,1.08447,0.8198,0.80781,0.88359,0.73131,0.62817,0.59571,0.54751,0.13781,0.68542,4.65613,0.40422,0.68345,1.04542,0.0002377,0.0002377,0.0002377
79,15857.4,0.73331,4.45725,0.44723,0.79362,1.07976,0.79089,0.8456,0.88401,0.73292,0.64219,0.61377,0.57403,0.14296,0.69349,4.69469,0.40771,0.69575,1.05164,0.0002278,0.0002278,0.0002278
80,16058,0.74197,4.44647,0.44424,0.79107,1.08843,0.78948,0.84923,0.88353,0.73606,0.65794,0.59343,0.56009,0.13854,0.68274,4.68407,0.40251,0.67874,1.04504,0.0002179,0.0002179,0.0002179
81,16258.5,0.73917,4.44992,0.44321,0.79963,1.08608,0.81615,0.83349,0.8745,0.72443,0.60419,0.58645,0.51053,0.13361,0.67248,4.71259,0.4039,0.68558,1.02586,0.000208,0.000208,0.000208
82,16458.7,0.73552,4.42561,0.44442,0.79057,1.0846,0.83568,0.79539,0.87348,0.72825,0.63177,0.56605,0.52887,0.1323,0.67573,4.67943,0.40518,0.68517,1.03241,0.0001981,0.0001981,0.0001981
83,16659,0.72699,4.43293,0.43463,0.78484,1.07785,0.80936,0.81251,0.86793,0.71832,0.62067,0.57938,0.52413,0.13829,0.68192,4.65518,0.40227,0.68707,1.03638,0.0001882,0.0001882,0.0001882
84,16859.3,0.71602,4.38855,0.43831,0.76364,1.07306,0.82822,0.80548,0.87799,0.73231,0.6245,0.60705,0.54683,0.13825,0.67712,4.65887,0.39857,0.66521,1.03833,0.0001783,0.0001783,0.0001783
85,17059.8,0.71536,4.42397,0.43939,0.76902,1.07426,0.79296,0.85686,0.88578,0.74115,0.62884,0.60087,0.56099,0.1444,0.68606,4.58939,0.40025,0.64849,1.04149,0.0001684,0.0001684,0.0001684
