                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     65,                0.77498,                0.83537,                 1.0955,                0.93715,                0.97601,                 0.9772,                0.86008,                0.54511,                  0.377,                0.91718,               0.003664,               0.003664,               0.003664
                     66,                0.76985,                0.82879,                  1.095,                0.94775,                0.97002,                0.97473,                0.85672,                0.54006,                0.38567,                0.91518,               0.003565,               0.003565,               0.003565
                     67,                0.76618,                0.82171,                  1.087,                0.94887,                0.96822,                0.97484,                0.85539,                0.55084,                0.38536,                 0.9242,               0.003466,               0.003466,               0.003466
                     68,                0.76134,                 0.8122,                 1.0883,                0.95012,                0.95963,                0.97205,                  0.854,                0.54992,                0.38594,                0.92404,               0.003367,               0.003367,               0.003367
                     69,                0.75587,                0.81419,                 1.0873,                0.95124,                0.95933,                0.97192,                0.85591,                0.54579,                0.38391,                0.91904,               0.003268,               0.003268,               0.003268
                     70,                0.75706,                0.80321,                 1.0848,                0.94639,                0.95851,                0.96995,                0.85317,                0.54358,                0.38727,                0.91499,               0.003169,               0.003169,               0.003169
                     71,                0.76123,                 0.8048,                 1.0873,                0.93965,                0.96455,                0.97043,                0.85335,                0.53847,                0.38526,                0.91496,                0.00307,                0.00307,                0.00307
                     72,                0.75499,                 0.7935,                  1.081,                 0.9432,                0.96216,                0.97435,                0.85995,                0.53017,                0.37555,                0.91098,               0.002971,               0.002971,               0.002971
                     73,                0.74963,                0.78608,                 1.0811,                0.95719,                0.95995,                0.97657,                0.86074,                0.53819,                0.37513,                0.91289,               0.002872,               0.002872,               0.002872
                     74,                0.74979,                0.78536,                  1.082,                0.95105,                0.95978,                0.97525,                0.86399,                0.53537,                0.37819,                0.91268,               0.002773,               0.002773,               0.002773
                     75,                0.74337,                0.77384,                  1.076,                0.95273,                0.96442,                0.97616,                  0.863,                 0.5324,                0.37246,                0.91349,               0.002674,               0.002674,               0.002674
                     76,                0.73696,                 0.7621,                 1.0711,                0.94923,                0.96324,                0.97596,                0.86391,                0.53605,                0.35965,                0.91322,               0.002575,               0.002575,               0.002575
                     77,                0.73686,                0.76943,                 1.0763,                 0.9412,                 0.9718,                 0.9761,                0.86324,                0.54006,                0.36786,                0.91706,               0.002476,               0.002476,               0.002476
                     78,                0.72824,                0.75813,                 1.0671,                 0.9349,                0.96584,                0.97476,                0.86203,                0.53781,                0.36797,                0.91381,               0.002377,               0.002377,               0.002377
                     79,                0.71978,                0.75096,                 1.0621,                0.93989,                0.97258,                0.97607,                0.86524,                 0.5345,                0.36857,                0.91301,               0.002278,               0.002278,               0.002278
                     80,                 0.7282,                0.75441,                 1.0683,                0.94565,                0.97249,                 0.9768,                0.86539,                0.53059,                0.36325,                  0.909,               0.002179,               0.002179,               0.002179
                     81,                0.72366,                 0.7442,                 1.0644,                0.94932,                0.96645,                0.97577,                0.86384,                0.52844,                0.36613,                0.91091,                0.00208,                0.00208,                0.00208
                     82,                0.71555,                0.72841,                 1.0623,                0.94881,                0.96855,                0.97812,                0.86586,                0.52814,                0.36233,                0.90888,               0.001981,               0.001981,               0.001981
                     83,                0.71136,                0.73377,                 1.0585,                0.95748,                0.94971,                0.97986,                0.86658,                0.53173,                0.35837,                0.91066,               0.001882,               0.001882,               0.001882
                     84,                0.71013,                0.73222,                 1.0603,                0.94494,                0.96979,                0.97935,                0.86909,                0.53334,                0.35823,                0.91009,               0.001783,               0.001783,               0.001783
                     85,                0.70864,                0.72601,                 1.0601,                 0.9441,                0.97438,                0.97893,                0.86388,                0.53708,                0.36221,                0.91214,               0.001684,               0.001684,               0.001684
                     86,                0.70354,                0.71653,                 1.0549,                0.94164,                0.97361,                0.97803,                0.86413,                0.53202,                0.36023,                0.90866,               0.001585,               0.001585,               0.001585
                     87,                0.69677,                0.71378,                 1.0537,                0.94738,                0.97195,                0.97758,                0.86262,                0.52788,                0.35541,                0.90794,               0.001486,               0.001486,               0.001486
                     88,                 0.6982,                0.71634,                 1.0502,                0.94306,                0.97524,                0.97797,                0.86336,                0.52466,                0.35458,                0.90556,               0.001387,               0.001387,               0.001387
                     89,                0.69139,                0.69529,                 1.0479,                0.94286,                0.96889,                0.97791,                0.86505,                0.52688,                0.35809,                0.90734,               0.001288,               0.001288,               0.001288
                     90,                 0.6925,                0.70006,                 1.0475,                0.94354,                0.97401,                0.97712,                0.86488,                0.52592,                0.36138,                0.90741,               0.001189,               0.001189,               0.001189
                     91,                0.65518,                0.55029,                 1.0238,                0.94254,                 0.9717,                0.97778,                0.86422,                0.52795,                0.35948,                0.90986,                0.00109,                0.00109,                0.00109
                     92,                0.64065,                0.52958,                 1.0125,                0.94594,                0.96076,                0.97692,                0.86403,                 0.5263,                  0.359,                0.91011,               0.000991,               0.000991,               0.000991
                     93,                0.63855,                0.52728,                 1.0129,                0.94594,                0.96731,                0.97818,                0.86456,                0.52698,                0.35603,                 0.9095,               0.000892,               0.000892,               0.000892
                     94,                0.63341,                0.52206,                 1.0118,                0.94667,                0.96463,                0.97807,                0.86606,                0.52763,                0.35823,                0.90952,               0.000793,               0.000793,               0.000793
                     95,                0.62397,                0.50912,                 1.0062,                0.95303,                0.95793,                0.97791,                0.86557,                0.52793,                0.35779,                0.90956,               0.000694,               0.000694,               0.000694
                     96,                0.62102,                0.50455,                 1.0044,                0.94939,                0.96622,                0.97846,                0.86629,                 0.5254,                0.35451,                0.90803,               0.000595,               0.000595,               0.000595
                     97,                0.61384,                 0.5002,                 1.0005,                0.95313,                 0.9638,                0.97727,                0.86731,                0.52377,                0.35375,                0.90667,               0.000496,               0.000496,               0.000496
                     98,                0.60705,                0.49561,                0.99724,                0.95648,                0.96519,                0.97889,                0.86753,                0.52325,                0.35284,                0.90632,               0.000397,               0.000397,               0.000397
                     99,                0.60845,                0.49327,                0.99813,                0.95473,                0.95967,                0.97888,                0.86784,                0.52293,                 0.3518,                0.90541,               0.000298,               0.000298,               0.000298
                    100,                0.60016,                0.48942,                0.99629,                0.95329,                0.96199,                0.97881,                0.86778,                0.52226,                0.35125,                0.90489,               0.000199,               0.000199,               0.000199
